temp_c,swvl1,swvl2,solar_MJ,evap_mm,rain_mm,sp,soil_avg,rain_3d,soil_lag1,irrigate,evapotranspiration,humidity,solar_radiation,temperature,rainfall,wind_speed,rain_event,dryness_index,heat_stress,month,NDVI,NDWI
20.862620000000025,0.2607894483333333,0.29324637541666665,14.282793583333333,-5.248924405555556,40.87833422,92141.32638888889,0.277017911875,105.710386845,0.2772674557638889,0,3.56,85.74,12.7,20.6,0.67,3.27,0,2.89,0,1,0.3285171,-0.3723488
21.0894784027778,0.2577450008333333,0.2920079758333333,13.087853277777779,-5.091387938194444,10.6332773821,92061.30791666666,0.2748764883333333,62.397672933855,0.27589363531249994,0,4.2,83.38,18.87,19.9,0.02,2.95,0,4.180000000000001,0,1,0.3285171,-0.3723488
20.771606250000023,0.2515994178472222,0.28929678555555555,15.712040708333332,-5.524184463194445,0.2096921186325,92010.66319444444,0.27044810170138883,0.7397539886925,0.27163929374999995,1,4.58,79.37,18.79,19.66,0.0,1.96,0,4.58,0,1,0.3285171,-0.3723488
20.411411736111134,0.2454164295138888,0.28620582145833334,17.224738583333334,-5.722334286111111,0.20299173992749997,92017.55097222222,0.2658111254861111,0.63775755565,0.266958819375,1,4.22,81.15,18.83,19.23,0.0,2.11,0,4.22,0,1,0.30374645100000003,-0.3409184755
20.256974583333356,0.23976537874999995,0.28303559638888887,17.76369723611111,-5.212162089583333,0.038222409799,92011.03472222223,0.2614004875694444,0.19373651571349998,0.26245763583333326,1,4.59,77.84,19.2,19.74,0.0,1.16,0,4.59,0,1,0.278975802,-0.309488151
21.044580625000023,0.23491393111111106,0.2799827789583333,17.357429916666668,-5.108464877777778,0.14312155822499997,91908.82180555555,0.2574483550347222,0.325754661291,0.25839789670138885,1,4.18,80.68,19.32,19.99,0.0,2.0,0,4.18,0,1,0.254205153,-0.2780578265
21.612400833333357,0.2307762564583333,0.2771653063194444,16.439119041666665,-5.3128377604166666,0.2504367294725,91960.29500000001,0.25397078138888884,0.76214334026,0.2547789675694444,1,3.84,81.72,17.12,20.53,0.0,2.27,0,3.84,0,1,0.229434504,-0.246627502
21.44254187500003,0.22764725159722218,0.2748167247222222,14.060749555555555,-4.80881023125,0.45722983939,91966.69791666667,0.2512319881597222,1.0833188888025,0.25181680229166664,1,3.97,81.7,15.28,20.82,0.0,1.89,0,3.97,0,1,0.204663855,-0.2151971775
21.797148055555578,0.2248306272222222,0.2726084392361111,14.080073805555555,-4.748879819444444,0.389197462095,91850.33444444445,0.24871953322916665,1.36072150726,0.2493720581944444,1,3.8,80.93,17.33,20.77,0.0,1.94,0,3.8,0,1,0.17989320600000003,-0.183766853
21.886086319444466,0.22187572041666664,0.2702319881944444,15.454605888888889,-4.866704580555556,0.61706265174,91849.04874999999,0.24605385430555554,1.2211843839799998,0.24673318854166665,1,3.97,78.19,17.87,20.06,0.0,2.16,0,3.97,0,1,0.15512255700000002,-0.1523365285
22.09988812500002,0.2186213604166666,0.2676815463194444,16.72989379166667,-5.259145055555556,0.30842180237399996,91844.79625000001,0.24315145336805552,1.698480672448,0.24391121368055552,1,4.03,77.61,19.61,20.85,0.0,2.17,0,4.03,0,1,0.13035190800000002,-0.12090620400000002
22.39293680555558,0.2157867219444444,0.2651892765972222,16.634523388888887,-5.338623131249999,0.944273920375,91807.50694444444,0.24048799927083328,2.1707434274389996,0.24110354322916663,1,3.56,80.26,16.92,21.24,0.0,2.05,0,3.56,0,1,0.10558125900000001,-0.08947587950000002
22.03764381944447,0.2134783002083333,0.26288445875,16.709902041666666,-5.530318891666667,1.998327797855,91768.05333333333,0.23818137947916662,5.269213381389999,0.2387414513194444,1,3.42,79.55,18.75,21.28,0.0,1.61,0,3.42,0,1,0.08081061,-0.058045555
21.739596944444465,0.21234173249999994,0.26086955597222217,16.016619652777777,-5.1606122673611114,7.834149776425,91769.44902777778,0.23660564423611108,16.21778943205,0.2368469769097222,0,3.29,76.38,18.06,21.9,0.05,1.46,0,3.24,0,1,0.09515263800000001,-0.07461079600000001
22.060907361111134,0.21096505048611106,0.25896697625,15.549103388888891,-4.765128045138889,4.32865926975,91821.82638888889,0.2349660133680555,20.22711292065,0.23551411079861106,0,3.29,75.3,19.34,22.08,0.01,1.23,0,3.28,0,1,0.109494666,-0.091176037
