temp_c,swvl1,swvl2,solar_MJ,evap_mm,rain_mm,sp,soil_avg,rain_3d,soil_lag1,irrigate,evapotranspiration,humidity,solar_radiation,temperature,rainfall,wind_speed,rain_event,dryness_index,heat_stress,month,NDVI,NDWI,irrigation_mm
20.771606250000023,0.2515994178472222,0.2892967855555555,15.712040708333332,-5.524184463194445,0.2096921186325,92010.66319444444,0.2704481017013888,0.7397539886925,0.2716392937499999,1,4.58,79.37,18.79,19.66,0.0,1.96,0,4.58,0,1,0.3285171,-0.3723488,1.603
20.41141173611113,0.2454164295138888,0.2862058214583333,17.224738583333334,-5.722334286111111,0.2029917399274999,92017.55097222222,0.2658111254861111,0.63775755565,0.266958819375,1,4.22,81.15,18.83,19.23,0.0,2.11,0,4.22,0,1,0.303746451,-0.3409184755,1.4769999999999999
20.25697458333336,0.2397653787499999,0.2830355963888888,17.76369723611111,-5.212162089583333,0.038222409799,92011.03472222223,0.2614004875694444,0.1937365157134999,0.2624576358333332,1,4.59,77.84,19.2,19.74,0.0,1.16,0,4.59,0,1,0.278975802,-0.309488151,1.6064999999999998
21.044580625000023,0.234913931111111,0.2799827789583333,17.357429916666668,-5.108464877777778,0.1431215582249999,91908.82180555556,0.2574483550347222,0.325754661291,0.2583978967013888,1,4.18,80.68,19.32,19.99,0.0,2.0,0,4.18,0,1,0.254205153,-0.2780578265,1.4629999999999999
21.61240083333336,0.2307762564583333,0.2771653063194444,16.439119041666665,-5.3128377604166666,0.2504367294725,91960.295,0.2539707813888888,0.76214334026,0.2547789675694444,1,3.84,81.72,17.12,20.53,0.0,2.27,0,3.84,0,1,0.229434504,-0.246627502,1.3439999999999999
21.44254187500003,0.2276472515972221,0.2748167247222222,14.060749555555557,-4.80881023125,0.45722983939,91966.69791666669,0.2512319881597222,1.0833188888025,0.2518168022916666,1,3.97,81.7,15.28,20.82,0.0,1.89,0,3.97,0,1,0.204663855,-0.2151971775,1.3895
21.797148055555574,0.2248306272222222,0.2726084392361111,14.080073805555555,-4.748879819444444,0.389197462095,91850.33444444444,0.2487195332291666,1.36072150726,0.2493720581944444,1,3.8,80.93,17.33,20.77,0.0,1.94,0,3.8,0,1,0.179893206,-0.183766853,1.3299999999999998
21.886086319444463,0.2218757204166666,0.2702319881944444,15.454605888888889,-4.866704580555556,0.61706265174,91849.04875,0.2460538543055555,1.2211843839799998,0.2467331885416666,1,3.97,78.19,17.87,20.06,0.0,2.16,0,3.97,0,1,0.155122557,-0.1523365285,1.3895
22.09988812500002,0.2186213604166666,0.2676815463194444,16.72989379166667,-5.259145055555556,0.3084218023739999,91844.79625,0.2431514533680555,1.698480672448,0.2439112136805555,1,4.03,77.61,19.61,20.85,0.0,2.17,0,4.03,0,1,0.130351908,-0.120906204,1.4105
22.39293680555558,0.2157867219444444,0.2651892765972222,16.634523388888887,-5.338623131249999,0.944273920375,91807.50694444444,0.2404879992708332,2.170743427439,0.2411035432291666,1,3.56,80.26,16.92,21.24,0.0,2.05,0,3.56,0,1,0.105581259,-0.0894758795,1.246
22.03764381944447,0.2134783002083333,0.26288445875,16.709902041666666,-5.530318891666667,1.998327797855,91768.05333333332,0.2381813794791666,5.269213381389999,0.2387414513194444,1,3.42,79.55,18.75,21.28,0.0,1.61,0,3.42,0,1,0.08081061,-0.058045555,1.1969999999999998
22.04874048611113,0.2088550991388888,0.2570551765277777,15.329625569444444,-5.239031132638889,1.835057504625,91968.07180555556,0.2329551378333333,5.6678540841250005,0.2334095638888888,1,3.02,78.67,16.83,21.61,0.04,2.51,0,2.98,0,1,0.123836694,-0.107741278,1.043
21.397939861111134,0.2070877289305555,0.2553865640972221,14.475491152777778,-5.242751542361111,1.5289772206,92106.38430555556,0.2312371465138888,4.4236940188,0.2316203645555555,1,2.56,78.29,17.94,21.01,0.0,2.71,0,2.56,0,1,0.138178722,-0.124306519,1.0
21.1309359027778,0.2054272752916666,0.2537839667361111,14.747914347222222,-5.138671126388889,0.7999442888449999,91999.05666666669,0.2296056210138888,3.56420892546,0.2300446821388888,1,2.51,75.99,18.31,20.57,0.0,2.2,0,2.51,0,1,0.15252075,-0.14087176,1.0
21.402296388888917,0.203202777986111,0.2519150847916666,16.850147805555558,-5.728346222916667,0.1496686667625,91895.57638888888,0.2275589313888888,0.74742206012,0.2281382882847221,1,2.58,68.96,20.47,19.76,0.0,1.63,0,2.58,0,1,0.159264424,-0.151977768,1.0
21.356864583333355,0.2007182442777777,0.2497467456249999,18.52287158333333,-5.757792365277778,0.0111818311225,91742.08569444444,0.2252324949513888,0.04725009156,0.2258095210972222,1,2.53,66.91,21.24,20.03,0.0,1.43,0,2.53,0,1,0.166008098,-0.163083776,1.0
23.06736861111113,0.1983149844166666,0.2475021149999999,18.87360223611111,-6.009151186111112,0.01949965875,91743.21291666669,0.2229085497083332,0.0431299192499999,0.2234997747569443,1,2.39,60.91,21.47,21.36,0.0,1.34,0,2.39,0,1,0.172751772,-0.174189784,1.0
22.33838187500002,0.1961196264999999,0.2453006109027777,18.87015480555556,-6.172099084027778,0.0235112975382499,91625.29166666669,0.2207101187013888,0.06650089428225,0.2212128108749999,1,2.24,67.79,22.11,20.65,0.0,1.58,0,2.24,0,1,0.179495446,-0.185295792,1.0
22.2533559027778,0.1943973967430555,0.2433383728472222,18.668771666666665,-5.929606527777778,0.0116810197499999,91607.56597222222,0.2188678847951388,0.0623844528824999,0.2192950780243055,1,2.04,69.28,22.28,19.69,0.01,1.79,0,2.03,0,1,0.18623912,-0.1964018,1.0
